#{"t_start": 1785826417.5412066, "env_id": "None"}
r,l,t
5.0,1,0.076317
4.75,2,0.090907
5.0,1,0.094816
5.0,1,0.098505
5.0,1,0.101816
5.0,1,0.105419
4.75,2,0.115716
4.75,2,0.122705
4.75,2,0.129912
4.75,2,0.138986
5.0,1,0.142526
5.0,1,0.146156
4.75,2,0.153881
5.0,1,0.157477
4.75,2,0.167052
4.75,2,0.175313
4.75,2,0.183049
4.75,2,0.191982
5.0,1,0.196393
5.0,1,0.199515
4.05,16,0.258681
5.55,6,0.277247
5.95,2,0.283565
4.75,2,0.289859
-3.65,18,0.35033
-3.45,18,0.432025
5.0,9,0.466574
5.0,1,0.469877
5.8,5,0.488277
6.0,1,0.492104
5.0,1,0.495817
5.15,6,0.521103
6.0,1,0.524644
6.0,1,0.528328
5.1,7,0.551319
4.75,2,0.557906
-3.85,18,0.633593
4.75,2,0.6409
6.0,1,0.644706
3.7,11,0.685349
4.55,10,0.719041
6.0,1,0.72368
3.4,17,0.789936
5.0,1,0.793017
5.7,3,0.802909
5.9,3,0.812097
5.75,2,0.817889
5.0,1,0.820804
4.75,2,0.826371
5.75,2,0.833286
-3.65,18,0.897373
5.7,3,0.906774
4.75,2,0.915791
6.0,1,0.919446
5.75,2,0.927318
5.0,1,0.930875
5.45,4,0.945648
6.0,1,0.949721
5.0,1,0.953044
5.95,2,0.960294
5.75,2,0.966375
4.75,2,0.972713
3.55,18,1.048914
5.95,2,1.059024
5.0,1,1.064149
5.95,2,1.071825
5.0,1,1.074975
5.0,1,1.078101
5.0,1,1.086273
-4.35,32,1.214128
4.75,2,1.224313
8.0,1,1.228359
8.0,1,1.232897
3.95,30,1.327464
4.75,2,1.334221
5.0,29,1.489877
5.6,5,1.516923
4.15,30,1.653928
-3.85,18,1.721035
-5.55,32,1.858782
-4.15,32,1.9806
-5.55,32,2.121287
-4.55,32,2.251333
-4.15,32,2.37346
-5.95,32,2.489504
4.75,2,2.495667
7.05,8,2.521107
4.75,2,2.528318
7.55,6,2.555881
-4.15,32,2.698495
5.1,7,2.761721
7.95,2,2.77178
3.4,13,2.916809
7.3,7,3.135909
4.25,12,3.270382
5.85,20,3.359047
5.75,2,3.365651
4.75,2,3.371816
4.45,32,3.467914
6.65,12,3.504446
6.2,17,3.55668
7.05,8,3.580056
4.75,2,3.585645
6.55,10,3.614358
4.5,31,3.716208
-4.55,32,3.814636
8.0,1,3.817758
-5.55,32,3.946954
5.75,6,3.974262
8.0,1,3.97831
4.75,2,3.98642
-4.55,32,4.102051
7.5,7,4.123959
6.45,16,4.176245
5.0,1,4.17927
-4.55,32,4.276772
5.0,1,4.279668
6.15,18,4.337008
-5.15,32,6.719408
5.7,3,6.729015
7.7,3,6.738631
7.65,4,6.755312
4.75,2,6.763281
6.75,10,6.797249
6.3,23,6.864703
6.0,1,6.867623
8.0,1,6.870684
7.8,5,6.891577
5.0,1,6.896407
6.5,11,6.934616
-4.75,32,7.049855
6.0,13,7.089463
7.35,6,7.108629
6.3,15,7.168053
5.95,2,7.174587
7.5,7,7.196547
6.05,28,7.291385
5.4,29,7.381737
7.0,9,7.410105
7.95,2,7.416778
6.05,12,7.450956
5.0,1,7.454147
5.85,20,7.510325
7.45,4,7.521286
7.65,4,7.532724
5.9,3,7.545201
-6.25,50,7.705889
7.35,30,7.805925
5.0,1,7.809172
7.35,22,7.89045
-6.85,50,8.061607
-6.45,50,8.256277
4.75,2,8.265282
-6.65,50,8.418945
-6.25,50,8.570939
-6.25,50,8.717256
7.85,4,8.728518
9.45,8,8.751647
5.8,49,8.894975
-5.25,50,9.05095
-5.45,50,9.188321
6.9,35,9.291068
9.05,12,9.327929
7.95,22,9.396566
-6.85,50,9.549648
-5.85,50,9.702601
6.1,43,9.827703
9.2,9,9.854699
7.95,26,12.158545
7.75,6,12.178254
6.0,1,12.181721
8.95,14,12.245647
9.05,8,12.275935
6.8,29,12.372997
5.95,2,12.378764
6.9,23,12.455656
9.35,10,12.485144
8.5,23,12.560475
5.75,2,12.567516
8.55,22,12.645921
6.45,40,12.763605
4.45,28,12.850009
5.35,6,12.875619
9.95,2,12.882288
9.4,9,12.91711
9.6,9,12.950533
-5.65,50,13.103346
9.8,5,13.122731
4.05,12,13.159902
-6.85,50,13.334601
8.45,20,13.396356
7.8,25,13.481312
-5.65,50,13.653157
9.7,3,13.6625
8.6,17,13.715179
4.75,2,13.724463
5.75,2,13.734806
9.05,12,13.77185
5.0,1,13.775032
9.8,5,13.789676
9.0,13,13.83384
8.3,19,13.891594
8.65,16,13.940499
8.1,23,14.015521
5.95,2,14.022418
5.75,2,14.029186
4.7,43,14.167653
7.85,20,14.244451
5.9,3,14.253639
4.75,2,14.259962
8.1,23,14.340153
7.55,22,14.424883
-8.05,50,14.572209
6.35,30,14.66002
8.9,11,14.692868
7.55,22,14.758012
5.45,48,14.895973
9.65,8,14.920562
8.55,18,14.972958
8.3,23,15.04294
5.0,1,15.045843
7.85,4,15.058243
8.3,19,15.124763
7.1,7,15.144491
7.9,3,15.15694
9.1,7,15.182913
8.85,16,15.23246
9.65,8,15.261942
5.95,2,15.271279
7.0,33,15.39249
8.1,19,15.449083
8.25,20,17.85168
9.25,12,17.886461
9.9,3,17.897838
9.9,3,17.907418
9.95,2,17.914138
7.95,26,17.989252
8.4,13,18.03519
9.7,7,18.057508
9.3,11,18.093272
5.75,2,18.098843
7.8,5,18.113387
8.2,13,18.160605
5.9,3,18.175903
9.85,4,18.189377
8.0,1,18.193666
5.0,1,18.197135
6.6,13,18.240868
5.0,1,18.244283
9.25,12,18.283942
8.95,10,18.318706
7.8,21,18.40788
9.8,5,18.424928
4.75,2,18.432968
9.5,7,18.461048
6.0,1,18.464497
8.05,24,18.557537
7.1,19,18.614175
7.8,5,18.630217
7.75,2,18.636375
7.65,20,18.708022
5.0,1,18.711365
7.75,2,18.717451
8.95,10,18.747273
9.5,7,18.774141
-7.75,72,19.060781
10.85,12,19.103362
-8.35,72,19.38598
7.95,2,19.394872
7.8,5,19.412377
6.1,51,19.597126
6.0,1,19.602965
5.0,1,19.606679
11.7,7,19.631335
6.0,1,19.634707
9.0,29,19.762475
7.65,40,19.933363
-8.75,72,20.204087
10.15,18,20.268473
10.3,19,20.328711
-8.15,72,20.582345
5.05,64,20.800352
7.4,45,20.948987
11.2,9,20.976011
6.3,55,21.164838
9.55,18,21.221546
8.85,32,21.331935
10.65,12,21.369061
9.6,25,23.607231
5.0,1,23.610163
10.8,13,23.648815
9.9,23,23.714605
9.35,30,23.797981
11.3,11,23.828151
9.3,7,23.849381
11.75,6,23.868185
5.0,1,23.871337
6.0,1,23.874468
8.6,45,24.016908
10.25,16,24.078889
5.9,43,24.225809
7.05,40,24.338396
11.7,7,24.358943
7.75,38,24.486719
5.9,3,24.496444
7.9,3,24.507609
10.1,23,24.595218
7.5,39,24.725146
7.5,7,24.752552
-7.75,72,24.972691
9.55,22,25.05186
11.25,12,25.088943
10.55,18,25.14304
4.75,2,25.148862
9.9,3,25.160424
7.85,4,25.176617
9.1,27,25.273131
6.0,1,25.276321
9.8,5,25.292295
10.55,14,25.341309
8.95,30,25.449607
7.7,7,25.471328
4.75,2,25.477632
7.3,43,25.612066
9.5,23,25.687461
8.6,33,25.784377
9.45,24,25.854008
6.0,1,25.85695
7.25,8,25.879336
4.9,51,26.032028
9.45,24,26.098898
7.75,6,26.115317
11.65,4,26.126577
9.15,30,26.208566
-9.15,72,26.410046
9.25,24,26.481711
9.0,33,26.576032
10.25,20,26.643133
6.0,1,26.646496
11.95,2,26.652815
10.4,21,26.7138
10.4,21,26.77843
10.75,14,29.079757
11.4,9,29.110455
11.3,15,29.161273
9.6,9,29.188896
11.8,5,29.204635
10.45,20,29.262548
10.15,22,29.336863
4.75,2,29.343271
11.25,8,29.373967
11.15,14,29.416697
5.0,1,29.419552
7.8,5,29.434131
9.05,8,29.459809
7.75,2,29.466169
5.85,36,29.570186
11.2,13,29.607534
9.9,19,29.665425
9.75,6,29.682639
10.75,18,29.735978
9.5,7,29.756442
9.3,31,29.850535
9.2,9,29.876212
10.4,21,29.935613
4.75,2,29.941759
11.75,6,29.95902
6.0,1,29.961864
11.15,10,29.992013
7.8,5,30.006078
7.3,23,30.082594
11.05,12,30.118202
6.05,56,30.30857
10.9,15,30.354232
9.95,22,30.434586
10.8,17,30.484814
8.35,30,30.573591
10.75,18,30.627084
11.6,5,30.642305
10.75,18,30.698607
11.85,4,30.711201
10.75,18,30.769582
11.85,4,30.7847
-7.95,72,31.015637
4.75,2,31.023217
11.8,5,31.039138
10.55,18,31.109351
-9.75,72,31.349293
4.0,69,31.577424
11.05,12,31.613696
11.7,7,31.640466
9.25,28,31.73545
11.85,4,31.751017
8.2,33,31.85441
11.7,7,31.876704
11.05,16,31.924945
8.5,27,32.000136
5.95,2,32.006506
8.9,31,32.094918
6.0,1,32.097738
9.85,4,32.108932
11.45,8,32.131217
10.85,16,32.176873
11.25,8,32.19978
11.55,10,32.229225
8.25,40,34.555239
11.55,10,34.589405
9.45,20,34.665943
10.55,18,34.735391
10.3,15,34.785511
11.2,13,34.831196
7.9,3,34.840573
11.35,14,34.883476
7.6,33,34.994657
4.75,2,35.000953
5.95,2,35.007564
4.75,2,35.013623
7.8,5,35.029233
4.75,2,35.037848
4.75,2,35.045513
11.6,9,35.085557
11.45,12,35.121754
11.7,7,35.147478
5.0,1,35.152056
11.2,13,35.204918
11.1,7,35.234846
9.15,26,35.349977
11.0,13,35.414188
10.6,13,35.466905
9.7,19,35.547203
11.75,6,35.57479
11.1,11,35.797286
7.85,4,35.813602
6.0,1,35.819741
8.2,33,35.995578
11.7,7,36.0219
5.0,1,36.02569
8.55,26,36.111343
5.95,2,36.117764
10.8,17,36.174603
11.35,10,36.213999
11.8,5,36.23261
5.0,1,36.23737
11.0,17,36.305259
10.65,36,36.476908
-12.85,98,36.807622
12.2,21,36.869169
10.2,17,36.91819
8.2,57,37.102502
13.45,8,37.126888
9.55,42,37.262449
-9.45,98,37.62945
8.9,51,37.819117
13.35,10,37.855069
11.65,32,37.952579
4.75,2,37.958749
13.1,19,38.014011
6.25,80,38.272047
5.75,2,38.278087
11.4,25,40.774035
7.15,90,41.079337
11.5,31,41.188379
11.7,27,41.28883
13.45,12,41.332352
12.7,23,41.419223
11.8,25,41.519224
12.35,22,41.60702
13.75,6,41.630856
10.2,37,41.761737
7.85,4,41.775189
11.65,8,41.801874
13.4,9,41.833201
9.4,37,41.971208
5.0,1,41.974589
5.0,1,41.977925
5.85,88,42.299365
11.25,32,42.417589
7.8,49,42.577814
7.2,17,42.62973
13.05,16,42.695578
7.8,5,42.721376
4.75,2,42.733217
6.0,1,42.738264
11.25,28,42.907056
11.4,33,43.066206
5.95,2,43.076138
5.0,1,43.080151
10.4,17,43.152749
13.1,15,43.206724
12.25,24,43.279194
12.65,20,43.341231
12.15,22,43.407411
7.95,2,43.413728
11.9,23,43.482003
9.8,5,43.497355
6.45,68,43.779558
12.95,14,43.83982
11.3,23,43.917952
7.95,2,43.924594
11.55,26,44.011039
11.25,32,44.107842
8.85,52,44.271784
6.85,64,44.473265
10.45,36,46.765112
12.1,23,46.834176
8.65,40,46.958487
5.0,1,46.961523
9.3,39,47.082746
12.2,17,47.13801
11.8,25,47.214737
12.55,14,47.255865
12.1,19,47.310855
11.9,19,47.367068
11.8,5,47.382058
11.55,22,47.44932
13.6,9,47.476456
9.7,7,47.496426
6.0,1,47.499236
12.8,17,47.545965
6.6,73,47.769648
12.85,20,47.828656
11.95,18,47.879609
12.85,20,47.935638
5.0,1,47.94075
7.8,5,47.958552
11.9,19,48.013849
5.0,1,48.016653
12.5,19,48.074187
6.0,1,48.077411
5.65,4,48.089348
7.75,6,48.107444
9.95,2,48.113786
13.0,13,48.157096
9.5,7,48.178453
13.35,10,48.208682
11.15,38,48.325373
13.2,13,48.365328
12.1,19,48.422745
12.0,29,48.510318
5.75,2,48.516133
11.25,36,48.625669
13.35,14,48.686196
9.75,6,48.714727
12.7,19,48.814744
11.75,26,48.941998
12.85,16,49.009849
8.9,39,49.147514
10.45,28,49.244444
10.3,15,49.297674
5.0,1,49.301097
10.25,40,49.449874
12.75,18,49.508836
13.4,9,49.537057
13.15,14,49.58042
11.3,31,49.675047
8.1,55,49.917207
5.75,2,49.923995
12.2,21,50.002444
13.55,10,50.040811
11.95,22,52.544521
4.75,2,52.552023
11.9,23,52.624996
10.9,23,52.700721
12.45,20,52.771216
4.75,2,52.781014
7.95,2,52.786673
13.1,19,52.845352
7.9,3,52.856327
13.05,12,52.909408
-12.85,98,53.26189
10.55,34,53.36745
12.9,15,53.424971
13.5,11,53.465591
6.0,1,53.469692
9.9,3,53.47953
13.7,7,53.509553
12.75,22,53.579256
12.8,13,53.619936
11.85,4,53.634855
12.8,13,53.680033
4.75,2,53.686329
13.25,12,53.72872
9.3,51,53.89889
13.6,9,53.930981
4.75,2,53.938761
12.75,18,53.998485
11.7,7,54.028842
13.55,10,54.061403
9.7,7,54.084277
13.5,7,54.106798
11.75,26,54.189716
12.35,22,54.254429
11.05,12,54.290724
11.55,26,54.370275
13.55,10,54.401474
6.25,80,54.771569
11.8,21,54.84028
10.75,38,54.978136
13.95,2,54.98411
12.4,21,55.048823
12.45,16,55.095251
8.0,1,55.098136
5.9,3,55.107339
11.75,6,55.126814
4.75,2,55.134705
7.8,5,55.150338
13.05,12,55.184491
13.65,8,55.207349
12.35,22,55.268592
