#{"t_start": 1785449606.1822617, "env_id": "None"}
r,l,t
-2.0,1,1.782058
-2.0,1,1.785102
-2.0,1,1.787788
-2.0,1,1.790591
-2.0,1,1.79337
-2.0,1,1.795815
-2.0,1,1.798164
-2.0,1,1.800683
-2.0,1,1.803155
-2.0,1,1.805897
-2.0,1,1.808448
-2.0,1,1.811256
-2.0,1,1.813757
-2.0,1,1.816243
-2.0,1,1.818726
-2.0,1,1.821164
-2.0,1,1.823668
-2.0,1,1.826131
-2.0,1,1.82864
-2.0,1,1.831116
-2.0,1,1.833538
-2.0,1,1.836061
-2.0,1,1.838488
-2.0,1,1.84092
-2.0,1,1.843503
-2.0,1,1.845919
-2.0,1,1.848449
-2.0,1,1.850926
-2.0,1,1.853437
-2.0,1,1.856044
-2.0,1,1.858528
-2.0,1,1.861033
-2.0,1,1.863487
-2.0,1,1.865949
-2.0,1,1.868445
-2.0,1,1.871008
-2.0,1,1.873479
-2.0,1,1.875877
-2.0,1,1.878267
-2.0,1,1.880672
-2.0,1,1.883054
-2.0,1,1.885427
-2.0,1,1.887876
-2.0,1,1.890274
-2.0,1,1.892665
-2.0,1,1.895025
-2.0,1,1.897628
-2.0,1,1.900022
-2.0,1,1.902382
-2.0,1,1.904768
-2.0,1,1.90716
-2.0,1,1.909534
-2.0,1,1.911931
-2.0,1,1.914341
-2.0,1,1.916735
-2.0,1,1.919108
-2.0,1,1.921505
-2.0,1,1.923923
-2.0,1,1.926298
-2.0,1,1.928679
-2.0,1,1.931036
-2.0,1,1.933424
-2.0,1,1.935821
-2.0,1,1.938243
-2.0,1,1.940822
-2.0,1,1.943391
-2.0,1,1.946087
-2.0,1,1.948819
5.0,1,1.951688
-2.0,1,1.954207
-2.0,1,1.956783
-2.0,1,1.959362
-2.0,1,1.961929
-2.0,1,1.964554
-2.0,1,1.967304
-2.0,1,1.970014
-2.0,1,1.97274
-2.0,1,1.975472
-2.0,1,1.978212
-2.0,1,1.980961
-2.0,1,1.983685
-2.0,1,1.986408
-2.0,1,1.989136
-2.0,1,1.991744
-2.0,1,1.994286
-2.0,1,1.996841
-2.0,1,1.99938
-2.0,1,2.00191
-2.0,1,2.004493
-2.0,1,2.007124
-2.0,1,2.009698
-2.0,1,2.012289
-2.0,1,2.014861
-2.0,1,2.017465
-2.0,1,2.020094
-2.0,1,2.022645
-2.0,1,2.02521
-2.0,1,2.027792
-2.0,1,2.030333
-2.0,1,2.032878
-2.0,1,2.035433
-2.0,1,2.037981
-2.0,1,2.040645
-2.0,1,2.042952
-2.0,1,2.045502
-2.0,1,2.048062
-2.0,1,2.050612
-2.0,1,2.053156
-2.0,1,2.055712
-2.0,1,2.058261
-2.0,1,2.060875
-2.0,1,2.063421
-2.0,1,2.065957
-2.0,1,2.06851
-2.0,1,2.071053
-2.0,1,2.073613
-2.0,1,2.076169
-2.0,1,2.078703
-2.0,1,2.081249
-2.0,1,2.08381
-2.0,1,2.086349
-2.0,1,2.088895
-2.0,1,2.091488
-2.0,1,2.094011
-2.0,1,2.096576
-2.0,1,2.099143
-2.0,1,2.101689
-2.0,1,2.104263
-2.0,1,2.106863
-2.0,1,2.10942
-2.0,1,2.111977
-2.0,1,2.114519
-2.0,1,2.117081
-2.0,1,2.119687
-2.0,1,2.122216
-2.0,1,2.124765
-2.0,1,2.127318
-2.0,1,2.129872
-2.0,1,2.132436
-2.0,1,2.134975
-2.0,1,2.13755
-2.0,1,2.140104
-2.0,1,2.142627
-2.0,1,2.145209
-2.0,1,2.147813
-2.0,1,2.150349
-2.0,1,2.152949
-2.0,1,2.155515
-2.0,1,2.158108
-2.0,1,2.160666
-2.0,1,2.163203
-2.0,1,2.165735
-2.0,1,2.168303
-2.0,1,2.170858
-2.0,1,2.173443
-2.0,1,2.176069
-2.0,1,2.178644
-2.0,1,2.181253
-2.0,1,2.18382
-2.0,1,2.186413
-2.0,1,2.188996
-2.0,1,2.191578
-2.0,1,2.194157
-2.0,1,2.196729
-2.0,1,2.19928
-2.0,1,2.201864
-2.0,1,2.204445
-2.0,1,2.20701
-2.0,1,2.209574
-2.0,1,2.212128
-2.0,1,2.21468
-2.0,1,2.217267
-2.0,1,2.219903
-2.0,1,2.222448
-2.0,1,2.225058
-2.0,1,2.227619
-2.0,1,2.230153
-2.0,1,2.232694
-2.0,1,2.235247
-2.0,1,2.237791
-2.0,1,2.240347
-2.0,1,2.242878
-2.0,1,2.245424
-2.0,1,2.247971
-2.0,1,2.250512
-2.0,1,2.253108
-2.0,1,2.255661
-2.0,1,2.258207
-2.0,1,2.260799
-2.0,1,2.263344
-2.0,1,2.265944
-2.0,1,2.268488
-2.0,1,2.271024
-2.0,1,2.273538
-2.0,1,2.276088
-2.0,1,2.278621
-2.0,1,2.281175
-2.0,1,2.283729
-2.0,1,2.286265
-2.0,1,2.288831
-2.0,1,2.291375
-2.0,1,2.293916
-2.0,1,2.296493
-2.0,1,2.299016
-2.0,1,2.301573
-2.0,1,2.304135
-2.0,1,2.306671
-2.0,1,2.309251
-2.0,1,2.311837
-2.0,1,2.314372
-2.0,1,2.316918
-2.0,1,2.319513
-2.0,1,2.322093
-2.0,1,2.324668
-2.0,1,2.327219
-2.0,1,2.329759
-2.0,1,2.332344
-2.0,1,2.334952
-2.0,1,2.33749
-2.0,1,2.340044
-2.0,1,2.342605
-2.0,1,2.345149
-2.0,1,2.347754
-2.0,1,2.350322
-2.0,1,2.35294
-2.0,1,2.355487
-2.0,1,2.35803
-2.0,1,2.360584
-2.0,1,2.363219
-2.0,1,2.365777
-2.0,1,2.368346
-2.0,1,2.370885
-2.0,1,2.373431
-2.0,1,2.375985
-2.0,1,2.378546
-2.0,1,2.381127
-2.0,1,2.383708
-2.0,1,2.38627
-2.0,1,2.388884
-2.0,1,2.391489
-2.0,1,2.394074
-2.0,1,2.396643
-2.0,1,2.399258
-2.0,1,2.401841
-2.0,1,2.404424
-2.0,1,2.407034
-2.0,1,2.409579
-2.0,1,2.412134
-2.0,1,2.414676
-2.0,1,2.41723
-2.0,1,2.419796
-2.0,1,2.422401
-2.0,1,2.424976
-2.0,1,2.427573
-2.0,1,2.430086
