#{"t_start": 1785313229.9525218, "env_id": "None"}
r,l,t
-2.0,1,1.7007
-2.0,1,1.703686
-2.0,1,1.706604
-2.0,1,1.709409
-2.0,1,1.712244
-2.0,1,1.715102
-2.0,1,1.718012
-2.0,1,1.720919
-2.0,1,1.723785
-2.0,1,1.726608
-2.0,1,1.729421
-2.0,1,1.732193
-2.0,1,1.734844
-2.0,1,1.737489
-2.0,1,1.740121
-2.0,1,1.742739
-2.0,1,1.745596
-2.0,1,1.748245
-2.0,1,1.750878
-2.0,1,1.753476
-2.0,1,1.756144
-2.0,1,1.758777
-2.0,1,1.761449
-2.0,1,1.764053
-2.0,1,1.766706
-2.0,1,1.769303
-2.0,1,1.771977
-2.0,1,1.774643
-2.0,1,1.777241
-2.0,1,1.77984
-2.0,1,1.782486
-2.0,1,1.785114
-2.0,1,1.787827
-2.0,1,1.790513
-2.0,1,1.793124
-2.0,1,1.795765
-2.0,1,1.798431
-2.0,1,1.801027
-2.0,1,1.803643
-2.0,1,1.806284
-2.0,1,1.808877
-2.0,1,1.811499
-2.0,1,1.814195
-2.0,1,1.81679
-2.0,1,1.819408
-2.0,1,1.822015
-2.0,1,1.824643
-2.0,1,1.827261
-2.0,1,1.829944
-2.0,1,1.83258
-2.0,1,1.835185
-2.0,1,1.837799
-2.0,1,1.840387
-2.0,1,1.84299
-2.0,1,1.845595
-2.0,1,1.848212
-2.0,1,1.850825
-2.0,1,1.853426
-2.0,1,1.856114
-2.0,1,1.858733
-2.0,1,1.861333
-2.0,1,1.863955
-2.0,1,1.866572
-2.0,1,1.869194
-2.0,1,1.871822
-2.0,1,1.874523
-2.0,1,1.877122
-2.0,1,1.879738
-2.0,1,1.882372
-2.0,1,1.884989
-2.0,1,1.887602
-2.0,1,1.890227
-2.0,1,1.892835
-2.0,1,1.895447
-2.0,1,1.898321
-2.0,1,1.900881
-2.0,1,1.903511
-2.0,1,1.906117
-2.0,1,1.908705
-2.0,1,1.911319
-2.0,1,1.913921
-2.0,1,1.916522
-2.0,1,1.919135
-2.0,1,1.921732
-2.0,1,1.924325
-2.0,1,1.92694
-2.0,1,1.929539
-2.0,1,1.932136
-2.0,1,1.93474
-2.0,1,1.937335
-2.0,1,1.939975
-2.0,1,1.942615
-2.0,1,1.945182
-2.0,1,1.947784
-2.0,1,1.950389
-2.0,1,1.95299
-2.0,1,1.95563
-2.0,1,1.958269
-2.0,1,1.960865
-2.0,1,1.963475
-2.0,1,1.96609
-2.0,1,1.968681
-2.0,1,1.971285
-2.0,1,1.973888
-2.0,1,1.976471
-2.0,1,1.979087
-2.0,1,1.981686
-2.0,1,1.984277
-2.0,1,1.986881
-2.0,1,1.989475
-2.0,1,1.992069
-2.0,1,1.994677
-2.0,1,1.997268
-2.0,1,1.999876
-2.0,1,2.002578
-2.0,1,2.005173
-2.0,1,2.007772
-2.0,1,2.010373
-2.0,1,2.012961
-2.0,1,2.015561
-2.0,1,2.018177
-2.0,1,2.020778
-2.0,1,2.023498
-2.0,1,2.02604
-2.0,1,2.02864
-2.0,1,2.031229
-2.0,1,2.033965
-2.0,1,2.036731
-2.0,1,2.039494
-2.0,1,2.042286
-2.0,1,2.045257
-2.0,1,2.04802
-2.0,1,2.050789
-2.0,1,2.053547
-2.0,1,2.056297
-2.0,1,2.059047
-2.0,1,2.061811
-2.0,1,2.064594
-2.0,1,2.067344
-2.0,1,2.070098
-2.0,1,2.072836
-2.0,1,2.075601
-2.05,2,2.081096
-2.0,1,2.083843
-2.0,1,2.086691
-2.0,1,2.089439
-2.0,1,2.092199
-2.0,1,2.094961
-2.0,1,2.097737
-2.0,1,2.100473
-2.0,1,2.103224
-2.0,1,2.106039
-2.0,1,2.108788
-2.0,1,2.111705
-2.0,1,2.114452
-2.0,1,2.117207
-2.0,1,2.119963
-2.0,1,2.122703
-2.0,1,2.125463
-2.0,1,2.128212
-2.0,1,2.13101
-2.0,1,2.133768
-2.0,1,2.136503
-2.0,1,2.139253
-2.0,1,2.142012
-2.0,1,2.144754
-2.0,1,2.147545
-2.0,1,2.150324
-2.0,1,2.153127
-2.0,1,2.155932
-2.0,1,2.15869
-2.0,1,2.16145
-2.0,1,2.164224
-2.0,1,2.167006
-2.0,1,2.16978
-2.0,1,2.172537
-2.0,1,2.1753
-2.0,1,2.178064
-2.0,1,2.18081
-2.0,1,2.183574
-2.0,1,2.186342
-2.0,1,2.189134
-2.0,1,2.191908
-2.0,1,2.194667
-2.0,1,2.197413
-2.0,1,2.200179
-2.0,1,2.20304
-2.0,1,2.205817
-2.0,1,2.208569
-2.0,1,2.211326
-2.0,1,2.214166
-2.0,1,2.216975
-2.0,1,2.219795
-2.0,1,2.222552
-2.0,1,2.225305
-2.0,1,2.228079
-2.0,1,2.230874
-2.0,1,2.233638
-2.0,1,2.236396
-2.0,1,2.239151
-2.0,1,2.241939
-2.0,1,2.244678
-2.0,1,2.24744
-2.0,1,2.250211
-2.0,1,2.252939
-2.0,1,2.255711
-2.0,1,2.258501
-2.0,1,2.261245
-2.0,1,2.264007
-2.0,1,2.266762
-2.0,1,2.269498
-2.0,1,2.272328
-2.0,1,2.275096
-2.0,1,2.277892
-2.0,1,2.280635
-2.0,1,2.283389
-2.0,1,2.286164
-2.0,1,2.288911
-2.05,2,2.294462
-2.0,1,2.297251
-2.0,1,2.30002
-2.0,1,2.302796
-2.0,1,2.305669
-2.0,1,2.308416
-2.0,1,2.311176
-2.0,1,2.313997
-2.0,1,2.316753
-2.0,1,2.319513
-2.0,1,2.322265
-2.0,1,2.325
-2.0,1,2.327765
-2.0,1,2.330564
-2.0,1,2.333335
-2.0,1,2.336094
-2.0,1,2.338861
-2.0,1,2.341694
-2.0,1,2.344511
-2.0,1,2.347279
-2.0,1,2.350024
-2.0,1,2.352784
-2.0,1,2.355633
-2.0,1,2.358391
-2.0,1,2.361123
-2.0,1,2.36388
-2.0,1,2.366635
-2.0,1,2.369313
-2.0,1,2.371924
-2.0,1,2.374536
-2.0,1,2.377243
-2.0,1,2.380042
-2.0,1,2.38283
-2.0,1,2.385714
-2.0,1,2.388505
-2.0,1,2.391185
-2.0,1,2.393981
-2.0,1,2.396816
-2.0,1,2.399595
-2.0,1,2.402384
-2.0,1,2.405181
-2.0,1,2.407937
-2.0,1,2.410696
-2.0,1,2.413434
-2.0,1,2.416187
-2.0,1,2.418958
-2.0,1,2.421703
-2.0,1,2.424456
-2.0,1,2.427254
-2.0,1,2.430107
-2.0,1,2.432851
-2.0,1,2.435608
-2.0,1,2.438461
-2.0,1,2.441257
-2.0,1,2.444008
-2.0,1,2.446769
-2.0,1,2.449517
-2.0,1,2.452278
-2.0,1,2.455055
-2.0,1,2.457878
-2.0,1,2.460631
-2.0,1,2.463442
-2.0,1,2.466278
-2.0,1,2.469031
-2.0,1,2.471882
-2.0,1,2.474651
-2.0,1,2.477383
-2.0,1,2.480205
-2.0,1,2.482972
-2.0,1,2.485731
-2.0,1,2.488477
-2.0,1,2.491318
-2.0,1,2.494107
-2.0,1,2.496863
-2.0,1,2.499537
-2.0,1,2.502394
-2.0,1,2.505147
-2.0,1,2.507903
-2.0,1,2.510746
-2.0,1,2.513597
-2.0,1,2.516367
-2.0,1,2.519135
-2.0,1,2.521956
-2.0,1,2.524712
-2.0,1,2.527477
-2.0,1,2.53024
-2.0,1,2.532998
-2.0,1,2.535762
-2.0,1,2.538515
-2.0,1,2.541252
-2.0,1,2.544024
-2.0,1,2.546778
-2.0,1,2.549552
-2.0,1,2.552305
-2.0,1,2.555106
-2.0,1,2.557949
-2.0,1,2.560708
-2.0,1,2.56348
-2.0,1,2.566252
-2.0,1,2.569001
-2.0,1,2.571774
-2.0,1,2.574542
-2.0,1,2.577276
-2.0,1,2.580035
-2.0,1,2.582797
-2.0,1,2.585559
-2.0,1,2.588293
-2.0,1,2.591077
-2.0,1,2.593864
-2.0,1,2.596613
-2.0,1,2.599426
-2.0,1,2.602199
-2.0,1,2.604936
-2.0,1,2.607793
-2.0,1,2.61056
-2.0,1,2.613914
-2.0,1,2.61673
-2.0,1,2.619559
-2.0,1,2.622373
-2.0,1,2.625224
-2.0,1,2.628005
-2.0,1,2.630823
-2.0,1,2.633615
-2.0,1,2.636398
-2.0,1,2.639193
-2.0,1,2.642063
-2.0,1,2.644877
-2.0,1,2.6477
-2.0,1,2.65051
-2.0,1,2.653284
-2.0,1,2.656103
-2.0,1,2.658899
-2.0,1,2.661691
-2.0,1,2.66446
-2.0,1,2.667245
-2.0,1,2.670024
-2.0,1,2.672788
-2.0,1,2.675579
-2.0,1,2.67837
-2.0,1,2.681153
-2.0,1,2.68397
-2.0,1,2.686845
-2.0,1,2.689636
-2.0,1,2.692376
-2.0,1,2.695138
-2.0,1,2.697891
-2.0,1,2.700623
-2.0,1,2.703391
-2.0,1,2.706153
-2.0,1,2.708896
-2.0,1,2.711647
-2.0,1,2.7144
-2.0,1,2.717159
-2.0,1,2.719911
-2.0,1,2.722669
-2.0,1,2.72542
-2.0,1,2.728311
-2.0,1,2.731076
-2.0,1,2.733855
-2.0,1,2.736694
-2.0,1,2.739433
-2.0,1,2.7422
-2.0,1,2.744967
-2.0,1,2.747726
-2.0,1,2.750494
-2.0,1,2.753266
-2.0,1,2.756035
-2.0,1,2.75881
-2.0,1,2.761598
-2.0,1,2.764346
-2.0,1,2.767113
-2.0,1,2.770029
-2.0,1,2.772816
-2.0,1,2.7756
-2.0,1,2.778397
-2.0,1,2.781178
-2.0,1,2.784103
-2.0,1,2.787026
-2.0,1,2.789932
-2.0,1,2.792675
-2.0,1,2.795434
-2.0,1,2.798245
-2.0,1,2.801033
-2.0,1,2.803786
-2.0,1,2.806563
-2.0,1,2.809367
-2.0,1,2.812602
-2.0,1,2.815189
-2.0,1,2.817862
-2.0,1,2.820475
-2.0,1,2.82309
-2.0,1,2.825752
-2.0,1,2.82838
-2.0,1,2.830998
-2.0,1,2.833639
-2.0,1,2.836237
-2.0,1,2.838852
-2.0,1,2.841457
-2.0,1,2.844276
-2.0,1,2.847051
-2.0,1,2.849872
-2.0,1,2.852633
-2.0,1,2.855678
-2.0,1,2.858686
-2.0,1,2.861506
-2.0,1,2.864275
-2.0,1,2.867092
-2.0,1,2.869874
-2.0,1,2.872649
-2.0,1,2.87542
-2.0,1,2.878198
-2.0,1,2.880952
-2.0,1,2.883737
-2.0,1,2.886518
-2.0,1,2.889288
-2.0,1,2.892128
-2.0,1,2.894902
-2.0,1,2.897886
-2.0,1,2.900688
-2.0,1,2.903488
-2.0,1,2.906294
-2.0,1,2.909033
-2.0,1,2.911813
-2.0,1,2.914612
-2.0,1,2.917332
-2.0,1,2.920113
-2.0,1,2.922952
-2.0,1,2.925696
-2.0,1,2.92847
-2.0,1,2.931295
-2.0,1,2.934085
-2.0,1,2.936811
-2.0,1,2.939749
-2.0,1,2.942729
-2.0,1,2.945662
-2.0,1,2.948573
-2.0,1,2.951507
-2.0,1,2.954447
-2.0,1,2.95741
-2.0,1,2.960329
-2.0,1,2.963264
-2.0,1,2.966188
-2.0,1,2.969105
-2.0,1,2.972016
-2.0,1,2.974961
-2.0,1,2.977866
-2.0,1,2.980831
-2.0,1,2.983876
-2.0,1,2.986809
-2.0,1,2.989757
-2.0,1,2.992659
-2.0,1,2.995574
-2.0,1,2.998498
-2.0,1,3.001401
-2.0,1,3.004391
-2.0,1,3.007308
-2.0,1,3.01024
-2.0,1,3.01316
-2.0,1,3.016091
-2.0,1,3.019017
-2.0,1,3.021949
-2.0,1,3.024994
-2.0,1,3.027956
-2.0,1,3.030927
4.0,1,3.033943
-2.0,1,3.036849
-2.0,1,3.039857
-2.0,1,3.042789
-2.0,1,3.045721
-2.0,1,3.048631
-2.0,1,3.051565
-2.0,1,3.054488
-2.0,1,3.057392
