#{"t_start": 1785358903.1049862, "env_id": "None"}
r,l,t
-2.0,1,1.620555
-2.0,1,1.622642
-2.0,1,1.624576
-2.0,1,1.62653
-2.0,1,1.628375
-2.0,1,1.630278
-2.0,1,1.632133
-2.0,1,1.634023
-2.0,1,1.635868
-2.0,1,1.637698
-2.0,1,1.639499
-2.0,1,1.641323
-2.0,1,1.643117
-2.0,1,1.644898
-2.0,1,1.646712
-2.0,1,1.648513
-2.0,1,1.650314
-2.0,1,1.652103
-2.0,1,1.653912
-2.0,1,1.655702
-2.0,1,1.657502
-2.0,1,1.659294
-2.0,1,1.661088
-2.0,1,1.662891
-2.0,1,1.664681
-2.0,1,1.666481
-2.0,1,1.668401
-2.0,1,1.670213
-2.0,1,1.672115
-2.0,1,1.673969
-2.0,1,1.675779
-2.0,1,1.677623
-2.0,1,1.679436
-2.0,1,1.681254
-2.0,1,1.683051
-2.0,1,1.684832
-2.0,1,1.686635
-2.0,1,1.688419
-2.0,1,1.69022
-2.0,1,1.692007
-2.0,1,1.693812
-2.0,1,1.6956
-2.0,1,1.697405
-2.0,1,1.699199
-2.0,1,1.700985
-2.0,1,1.70278
-2.0,1,1.704565
-2.0,1,1.706376
-2.0,1,1.708182
-2.0,1,1.709983
-2.0,1,1.711771
-2.0,1,1.713568
-2.0,1,1.715367
-2.0,1,1.71718
-2.0,1,1.718959
-2.0,1,1.720732
-2.0,1,1.722543
-2.0,1,1.724335
-2.0,1,1.72614
-2.0,1,1.727937
-2.0,1,1.729748
-2.0,1,1.731544
-2.0,1,1.733342
-2.0,1,1.735146
-2.0,1,1.736943
-2.0,1,1.738738
-2.0,1,1.740533
-2.0,1,1.742334
-2.0,1,1.744128
-2.0,1,1.745928
-2.0,1,1.747714
-2.0,1,1.74951
-2.0,1,1.751301
-2.0,1,1.753092
-2.0,1,1.754896
-2.0,1,1.756693
-2.0,1,1.758481
-2.0,1,1.760272
-2.0,1,1.762082
-2.0,1,1.763881
-2.0,1,1.76569
-2.0,1,1.767485
-2.0,1,1.769274
-2.0,1,1.771059
